"","xn","yn"
"1",-5.21238568441912,6.61879125621051
"2",-5.33765667964325,6.51290537245071
"3",-5.6825164170744,6.43620984296175
"4",-5.42877731994202,6.07300790568913
"5",-5.35328239864461,6.22703100872941
"6",-5.06539218988196,6.31590809478271
"7",-5.34271163600594,5.96460107992191
"8",-5.06652052253323,5.97757421671888
"9",-5.17577290696893,6.47129225518035
"10",-5.42895113670496,6.01841584404398
"11",-5.39037746744504,5.95261783194531
"12",-5.31901796565937,6.04094714378295
"13",-5.32444241464113,6.04004916615079
"14",-5.6278486623855,5.91831149566267
"15",-5.21864513243353,6.20308735361938
"16",-5.0703451130006,6.11228236175109
"17",-5.34827620464346,6.26763328938108
"18",-5.45386423184602,6.14858136124242
"19",-5.54880868465699,6.35099113793016
"20",-5.45897944852424,6.38805227978761
"21",-5.23227582050469,6.28516195934732
"22",-5.23489783938244,6.16415137051481
"23",-5.34889245147784,6.61858152052976
"24",-5.49719493717946,5.93885411919226
"25",-5.47773247604837,6.44891905855574
"26",-5.07854101573134,6.09652113949955
"27",-5.34396614074623,6.58599130199769
"28",-5.04545022457115,6.29433003456977
"29",-5.60642397508173,6.23653297791513
"30",-5.71967814754871,6.23269206504688
"31",-5.01658822485306,6.12372756843994
"32",-5.66265152045342,6.01024846261295
"33",-5.71956223172789,6.657412089537
"34",-5.24944408053838,6.33247317041743
"35",-5.54216078353605,6.46305089932995
"36",-5.70590079257651,6.56724862122619
"37",-5.56254547495753,5.97490102570978
"38",-5.16591619047433,6.10973495443729
"39",-5.65954621537135,5.99570775271065
"40",-5.79638829133316,6.58621450970849
"41",-5.60558851264929,6.20429887177005
"42",-5.22491794377973,6.27152932429737
"43",-5.04372393592761,6.18863799660081
"44",-5.26908093500109,6.18548453347494
"45",-5.22472778108835,6.57230965817794
"46",-5.55850886537401,5.93417637825353
"47",-5.0585958605501,6.18253174363939
"48",-5.72123230948177,5.99398811798329
"49",-5.59643491010012,5.98608533746161
"50",-5.58033437256533,5.88935682860251
"51",-5.07037197720563,6.31163411078051
"52",-5.70485432282902,6.11667085286868
"53",-5.81583953989917,6.11054858225203
"54",-5.1014476680066,6.0216157074877
"55",-5.41400754507841,6.47739781196609
"56",-5.80992214483954,5.94343565618272
"57",-5.17011591779292,6.46877775398725
"58",-5.61517010199599,6.24002529968131
"59",-5.55888600942483,6.64188905436362
"60",-5.70117087410889,6.36679562573533
"61",-5.20088924289507,6.64464680603933
