"","x"
"1",1.01738958675182
"2",1.01094699142311
"3",1.02594291420532
"4",1.03140665811713
"5",1.02788109132349
"6",1.02782111523229
"7",1.04315112935409
"8",1.02931479172705
"9",1.03094902945804
"10",1.0314630737849
"11",1.05201597927544
"12",1.04480841234956
"13",1.03077081950514
"14",1.037272079432
"15",1.04943084157539
"16",1.04982340924189
"17",1.06317818900313
"18",1.05623678625764
"19",1.07044591311572
"20",1.06720695147272
"21",1.05267177457589
"22",1.07553791180398
"23",1.05824622138506
"24",1.07533339619701
"25",1.08710944000959
"26",1.08719355673095
"27",1.07200646778257
"28",1.08723650450304
"29",1.08171363098669
"30",1.0781740994227
"31",1.07900239497688
"32",1.08052417238714
"33",1.10069412980143
"34",1.09329854385289
"35",1.09114265677671
"36",1.10160584070143
"37",1.09823254021089
"38",1.10248769241196
"39",1.09002917846062
"40",1.11736205755229
"41",1.09862116794042
"42",1.11594713265996
"43",1.11825306289388
"44",1.10607318545199
"45",1.11083403132383
"46",1.12123405499121
"47",1.11009929415668
"48",1.10940661121843
"49",1.13751708055401
"50",1.12946585596869
"51",1.12503668264846
"52",1.11745192931974
"53",1.12306728938818
"54",1.12868594117982
"55",1.12993355434804
"56",1.14637394724084
"57",1.14060460079547
"58",1.1278709902621
"59",1.12989255802073
"60",1.1539572813742
"61",1.1338009601771
"62",1.13766181999205
"63",1.16380966532869
"64",1.15043864181063
"65",1.14682359239199
"66",1.16630664203336
"67",1.14921937299984
"68",1.15738814954286
"69",1.15931233823142
"70",1.17071330430284
"71",1.17791777227964
"72",1.16136225247404
"73",1.17028907376678
"74",1.16741057393809
"75",1.16188001788955
"76",1.16089807859117
"77",1.17708076798217
"78",1.1809430773855
"79",1.17813334522986
"80",1.17789038757438
"81",1.17103355193069
"82",1.16759588420409
"83",1.1887867104186
"84",1.19617373071094
"85",1.19673562572427
"86",1.17518066040239
"87",1.18947557858662
"88",1.17468432843042
"89",1.18934889295607
"90",1.17902835822731
"91",1.1977900541117
"92",1.17979012932061
"93",1.18002327455993
"94",1.20000820130063
"95",1.20420505318366
"96",1.19112330162177
"97",1.19052161771786
"98",1.19997082336576
"99",1.20600555725125
"100",1.18659226009803
"101",1.18786881934757
"102",1.18609527775041
"103",1.20610571651464
"104",1.20570167161135
"105",1.19254294848362
"106",1.21051671883584
"107",1.18988558212752
"108",1.19619106058864
"109",1.20991257072052
"110",1.19517418450253
"111",1.1954867785367
"112",1.21375297714071
"113",1.22215819870117
"114",1.20006949519217
"115",1.19904912895766
"116",1.19711932385664
"117",1.19992466550705
"118",1.21536096589399
"119",1.20252795478687
"120",1.20422255142883
"121",1.19661101194108
"122",1.20567760046817
"123",1.22351195473605
"124",1.22534099960949
"125",1.20900119463016
"126",1.20503033358725
"127",1.1976607807885
"128",1.22102204425661
"129",1.22696878663369
"130",1.20850327532176
"131",1.19783814299909
"132",1.20442639627563
"133",1.22693219405198
"134",1.22237375872946
"135",1.21492589259268
"136",1.20674664500832
"137",1.21798186302134
"138",1.19884376120533
"139",1.20963789183938
"140",1.2207509960068
"141",1.2047600743236
"142",1.21565745926656
"143",1.2241772158193
"144",1.21390065160106
"145",1.21703846907535
"146",1.20569018925029
"147",1.20071909103111
"148",1.22231955956609
"149",1.212552858726
"150",1.20465708437781
"151",1.21894071310139
"152",1.21572473965724
"153",1.20691760933321
"154",1.19592530509464
"155",1.212954622571
"156",1.21806756430924
"157",1.20416487420897
"158",1.21301120348313
"159",1.21448385877984
"160",1.19292466438316
"161",1.21792235214936
"162",1.19834787191396
"163",1.19515129555138
"164",1.19657886486613
"165",1.21107120063493
"166",1.20206335920798
"167",1.18955356158083
"168",1.21115136476521
"169",1.20119828681065
"170",1.19521214490536
"171",1.20945830953973
"172",1.20888073053169
"173",1.20074308671274
"174",1.19579866721776
"175",1.18938672867096
"176",1.19991829622362
"177",1.19657151789273
"178",1.19688371154008
"179",1.19697158207717
"180",1.17532817427959
"181",1.18733417224414
"182",1.17878827338112
"183",1.19025736303054
"184",1.17878368527435
"185",1.17671507352082
"186",1.17734620328372
"187",1.19026720349889
"188",1.19313501313269
"189",1.16935245479737
"190",1.18616081041123
"191",1.16734955666975
"192",1.18249026720957
"193",1.16435948056075
"194",1.16455810185892
"195",1.17535051521122
"196",1.17758991921556
"197",1.17338856002488
"198",1.16713783917824
"199",1.16398308595731
"200",1.14905699790363
"201",1.16344522034804
"202",1.158022379983
"203",1.15233692673426
"204",1.15030117084007
"205",1.14242412894902
"206",1.15313376758767
"207",1.1426054119271
"208",1.16421085435821
"209",1.16423977169636
"210",1.15192660138468
"211",1.13349300653441
"212",1.1487714387514
"213",1.15823466688959
"214",1.13391978195453
"215",1.13647559151764
"216",1.14708214603687
"217",1.12844330280339
"218",1.12741071277865
"219",1.12960882426969
"220",1.14716448215808
"221",1.12753463021886
"222",1.11896776872244
"223",1.12892367321609
"224",1.12967830338568
"225",1.12914747009282
"226",1.13817606115937
"227",1.11598859743313
"228",1.10861649477665
"229",1.11601351776707
"230",1.11774583133153
"231",1.11822293539183
"232",1.1253631750352
"233",1.09929323636865
"234",1.12141005082326
"235",1.09556311021646
"236",1.10726381098689
"237",1.09562143343082
"238",1.11462758820334
"239",1.10948443343701
"240",1.10920921431924
"241",1.10266148635912
"242",1.10361450316183
"243",1.08240596877159
"244",1.08840958637861
"245",1.10375335607237
"246",1.0974907181944
"247",1.08457309347698
"248",1.0919127580228
"249",1.08320077804168
"250",1.08296457941905
"251",1.08139260366113
"252",1.09030184126186
"253",1.06569193177482
"254",1.08586723570464
"255",1.08074273516607
"256",1.06849517414454
"257",1.07127310093449
"258",1.05520626674437
"259",1.07257664064035
"260",1.05869572265174
"261",1.07142063704637
"262",1.06730733650697
"263",1.05930354851874
"264",1.0488102680012
"265",1.06275879315279
"266",1.06316797166424
"267",1.04545304458795
"268",1.03537797938726
"269",1.05760859158703
"270",1.04099387606569
"271",1.05398077265812
"272",1.04732904710033
"273",1.03716896328309
"274",1.02985856543922
"275",1.04694334526902
"276",1.02241493215019
"277",1.04825791477872
"278",1.02054158471718
"279",1.02361676862964
"280",1.03247203510466
"281",1.04054090339449
"282",1.02999628384076
"283",1.03407570396855
"284",1.013265729198
"285",1.01817866944539
"286",1.01736719196878
"287",1.01401038010488
"288",1.02324816474992
"289",1.00187362239524
"290",1.00510382854787
"291",0.996304130568893
"292",1.01317321354444
"293",1.01786458697336
"294",0.991434496354282
"295",1.00060182269631
"296",1.00675290982244
"297",1.00288056571719
"298",1.01024775902637
"299",1.00587316550984
"300",1.00590197501897
"301",0.995911847952073
"302",1.00490937234678
"303",1.00333796061419
"304",0.988834829215275
"305",0.997595579034109
"306",0.979607925655054
"307",0.992352354281141
"308",0.981426286770688
"309",0.991313712906435
"310",0.971460356277845
"311",0.986382842091104
"312",0.980382364545342
"313",0.978508633447638
"314",0.972337412736094
"315",0.97811101754066
"316",0.985162844757463
"317",0.961452308561471
"318",0.977923337434235
"319",0.965183586997956
"320",0.976003277877853
"321",0.956359451369147
"322",0.95618701574024
"323",0.964422670059936
"324",0.96944042472975
"325",0.961757141220006
"326",0.972922203134778
"327",0.966461336578457
"328",0.959886995328494
"329",0.943706700371983
"330",0.951169728796981
"331",0.967365518152995
"332",0.962119080457354
"333",0.946375752496543
"334",0.939296332321738
"335",0.950373732942327
"336",0.955754503334366
"337",0.942855706998049
"338",0.935524556571512
"339",0.94444020545539
"340",0.934070083591388
"341",0.936320876363848
"342",0.951176539125468
"343",0.950587533203724
"344",0.930570693283821
"345",0.929449723535491
"346",0.93763701972099
"347",0.92823572337214
"348",0.948550671717376
"349",0.922288711435726
"350",0.939745842309038
"351",0.95001946824345
"352",0.92677243766441
"353",0.919369585400411
"354",0.926321597912591
"355",0.929593516866309
"356",0.929164564786784
"357",0.93752931589831
"358",0.92945732403782
"359",0.945061476237908
"360",0.915400220298105
"361",0.93031563115304
"362",0.930664170614385
"363",0.928567191052135
"364",0.925280674738573
"365",0.934335702099264
"366",0.930829257070529
"367",0.915060763577896
"368",0.92873519623316
"369",0.916715022305201
"370",0.91845757259743
"371",0.933950648798361
"372",0.913054032110033
"373",0.915259891292354
"374",0.933391097598503
"375",0.921037031622468
"376",0.909461090531741
"377",0.935240454946009
"378",0.929679964498538
"379",0.923133266184323
"380",0.926803365089645
"381",0.924138092649881
"382",0.914420534065797
"383",0.922312801503293
"384",0.925209315906386
"385",0.935605640924362
"386",0.921415735064004
"387",0.92985353044007
"388",0.921501923439805
"389",0.926422477376071
"390",0.913363860181854
"391",0.923551874588609
"392",0.932920456417536
"393",0.935139479969914
"394",0.909906549288229
"395",0.928431741861985
"396",0.929230295786986
"397",0.91995392165541
"398",0.909902442520653
"399",0.935583938653754
"400",0.913884807640058
"401",0.911447850636264
"402",0.908059146242136
"403",0.909239338691829
"404",0.911608264334112
"405",0.916263758004866
"406",0.929736099452023
"407",0.913593981313692
"408",0.929689471980852
"409",0.914096309740184
"410",0.932288270972062
"411",0.917868196318797
"412",0.921213711869651
"413",0.932510564677417
"414",0.920596792325975
"415",0.91607884182062
"416",0.920559677318416
"417",0.940264288052737
"418",0.930651131504701
